target,modelo,test_accuracy,test_recall_0,test_recall_1,test_f1_macro,test_auc,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_auc_mean,cv_auc_std
clase_ingreso_15k,Regresión Logística,0.717,0.731,0.708,0.71,0.8,0.722,0.002,0.715,0.001,0.802,0.002
clase_ingreso_mediana,Regresión Logística,0.72,0.722,0.718,0.72,0.798,0.726,0.003,0.726,0.003,0.801,0.004
clase_ingreso_15k,Random Forest,0.703,0.595,0.769,0.683,0.762,0.708,0.004,0.689,0.004,0.768,0.002
clase_ingreso_mediana,Random Forest,0.685,0.69,0.679,0.685,0.758,0.692,0.003,0.692,0.003,0.764,0.003
clase_ingreso_15k,Red Neuronal (MLP),0.747,0.628,0.82,0.727,0.814,0.745,0.002,0.723,0.003,0.812,0.004
clase_ingreso_mediana,Red Neuronal (MLP),0.73,0.734,0.726,0.73,0.81,0.734,0.004,0.734,0.004,0.813,0.005
